"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ABL2",0.263992794151141,2.19024672373209,0.325869523922715,0.750121983646629,1,-4.61883078972482
"ABLIM1",-0.316743725668354,8.89131572630885,-0.806140583402372,0.43580928700275,1,-4.60442401491873
"ABLIM2",0.391504376884367,3.2301765286884,0.344751644342389,0.736233718110287,1,-4.61848094928073
"ABLIM3",-0.739834856728448,3.27300863677206,-0.588939190764218,0.566797518064651,1,-4.61230138320679
"ABO",-0.359693719917794,1.15026655589862,-0.438333711971649,0.668912760984705,1,-4.61647020198353
"ABP1",1.15388605559375,2.77606227937621,1.29773238010485,0.218712865703398,1,-4.58009880251937
"ABR",-0.503175712138301,7.21438512329711,-1.61743028864166,0.131690700006195,1,-4.56105865951133
"ABRA",-0.384311984829383,1.73200699751087,-0.596352772956327,0.561994365749909,1,-4.61206765289284
"ABT1",-1.97276359228166,2.81181811586438,-3.02795418352376,0.0104806593709993,1,-4.47374841842059
"ABTB1",0.36247538195545,6.32643200639188,1.48485652285781,0.163309045670955,1,-4.56916056645307
"ABTB2",0.215402434556268,0.520540736659613,0.323720561116029,0.751708519809302,1,-4.61886939976233
"ACAA1",0.280358068214216,7.19064860119522,0.814817182015679,0.431013631540473,1,-4.60406729396306
"ACAA2",0.662019630934812,2.53900919235075,0.652915565843149,0.526092823261209,1,-4.61019981518175
"ACACA",-0.161523896832443,7.908677249588,-0.542399326528403,0.597448799210913,1,-4.61370867585429
"ACACB",-0.133438774645266,7.33814397659281,-0.391858333498896,0.702016437822459,1,-4.61752592589836
"ACAD10",-0.682836074290892,5.00839870253246,-0.977346460112705,0.347644182117239,1,-4.5968490055403
"ACAD11",-0.184182734602834,8.00744558452825,-0.464954616964883,0.650267738169086,1,-4.61581552336299
"ACAD8",-0.392601078676841,6.78046657734503,-1.17375074455317,0.26321073908454,1,-4.58692360663276
"ACAD9",0.249252731895507,7.68299242193459,0.983798421308869,0.344588900768139,1,-4.59654259706839
"ACADL",-1.12866386465104,1.54556343326196,-1.1586629022485,0.269078876906551,1,-4.58772696493117
"ACADM",-0.0441997897866098,9.38665547403236,-0.156597512756646,0.878159575323849,1,-4.62110427868312
"ACADS",-0.636288720811769,5.09232985695532,-0.578649176159843,0.573500907450882,1,-4.6126214782474
"ACADSB",-0.416162832859356,2.08594675650032,-0.546123982662607,0.594964615137898,1,-4.6135998940895
"ACADVL",0.0453065596520356,9.52818765833402,0.164058956440537,0.872409056997629,1,-4.62103724767544
"ACAN",0.724046533195258,0.306053878312995,2.20891703063597,0.0473208207234261,1,-4.52339490617434
"ACAT1",-0.0391280099590456,8.96540895762802,-0.102491937311333,0.920054957771433,1,-4.62149753965243
"ACAT2",-0.493931648065785,6.9749048370853,-0.968202561386027,0.352007433894402,1,-4.59728078976043
"ACBD3",-0.176201185996007,8.64819820250785,-0.782180125030995,0.449231901508009,1,-4.60539314826519
"ACBD4",0.774582604520861,2.19199348783992,0.730901235224604,0.478834854532493,1,-4.60738671939576
"ACBD5",0.122849882739224,0.808443332542964,0.176855119704541,0.862564965705465,1,-4.62091509567694
"ACBD6",-0.454634153789694,5.52420469934646,-0.635896604539027,0.536754716907683,1,-4.61077739616064
"ACBD7",0.534802498986504,5.92159060692421,0.990585390418938,0.3413958932789,1,-4.59621873710299
"ACCN1",0.552999682183853,2.26142009241297,0.821180983283062,0.42751832450242,1,-4.60380372761204
"ACCN2",0.0458403131118889,5.01312786467218,0.105102444986189,0.918026730917509,1,-4.62148232006482
"ACCN3",-0.419404540908902,3.00184297493972,-0.782335267931618,0.449144146276934,1,-4.60538694918798
"ACCN4",0.12944332140099,0.39678279804051,0.227128342060136,0.82413815125241,1,-4.62034753626731
"ACCN5",-0.190984162184755,0.605863450806388,-0.310626202678866,0.761401191093836,1,-4.61909932217005
"ACD",0.361150595407895,6.39831463814529,1.49979561687105,0.159448188804399,1,-4.56826016096524
"ACE",-0.0906577215700049,1.56321263403134,-0.120619650296121,0.905983607700946,1,-4.62138398513543
"ACE2",0.660120842419532,5.09923161820506,1.19533371870933,0.25499032214055,1,-4.5857636567794
"ACHE",0.33524139035323,1.79697617360384,0.469425873468066,0.647159760108638,1,-4.61570203375771
"ACIN1",0.188075917939526,8.09804595472525,0.535777871323449,0.601878122553016,1,-4.61390039270115
"ACLY",-0.107030291784536,8.96486984949909,-0.378296721262914,0.711801639442975,1,-4.61781283171032
"ACMSD",-1.43292703611502,4.07061797998073,-1.99296381246622,0.0694498454227406,1,-4.53724139959889
"ACN9",0.366890981341967,7.6155078592558,1.46524848205797,0.16849689888385,1,-4.57033695132719
"ACO1",0.0613133747864954,8.90654557091722,0.223031301727618,0.827253481633067,1,-4.62039899991928
"ACO2",-0.194482162953995,6.67439838470764,-0.527667772156161,0.607325929869384,1,-4.6141322922601
"ACOT1",-1.04373707840287,2.2469201841464,-1.17761418261704,0.261724256175221,1,-4.58671689324483
"ACOT11",0.137015388733417,5.6306993463157,0.44692551517301,0.662869120409466,1,-4.61626285282289
"ACOT12",-0.223308367665165,2.3171195562988,-0.322117428397596,0.752892853049682,1,-4.618898042187
"ACOT2",-0.473042622631616,3.91674188889373,-1.28445167665038,0.223169226338714,1,-4.58084776355149
"ACOT4",0.191779590853857,6.27457595991245,0.612056485592591,0.551893957811101,1,-4.6115640022674
"ACOT6",0.802137803156678,0.22821535156948,1.76091958630679,0.103626636514826,1,-4.55206308937857
"ACOT7",0.0845722136832553,5.52733550174572,0.206231597343978,0.840059285992428,1,-4.62060037514513
"ACOT8",-0.117424126486272,3.86909649512771,-0.166404100067902,0.870603214387173,1,-4.62101554096141
"ACOT9",-1.63391875367681,4.99877060361354,-1.70598360621184,0.113672943432106,1,-4.55552923506966
"ACOX1",-0.753106794507155,3.23183180212858,-1.48744157285691,0.162635329209298,1,-4.56900501267474
"ACOX2",-0.823901047753601,4.33133198407207,-1.2132380681572,0.248324970014112,1,-4.58479204226507
"ACOX3",0.440088487305199,7.07082430207036,1.11155621885969,0.288051796570849,1,-4.59019383702156
"ACOXL",0.699016156256526,0.538454723539443,1.38681689637216,0.190659689406542,1,-4.57497580290218
"ACP1",-0.482204687630733,8.3502673213935,-1.02481376427112,0.325618807436766,1,-4.59456175039938
"ACP2",0.253296381632717,7.29807574176993,0.604715270755369,0.556603182658512,1,-4.61180089234847
"ACP5",-0.0298607277726239,5.61368640791401,-0.0393093895311742,0.969288592323683,1,-4.62174935006854
"ACP6",-0.225123408980492,6.03016117053238,-0.392919098815069,0.701253374940703,1,-4.61750307917986
"ACPL2",-0.982611027633877,5.11568503236703,-2.25677944319007,0.0434124938930307,1,-4.52034298996141
"ACPP",-1.68676134879894,2.31002808145056,-2.10848298202387,0.0566296475047122,1,-4.52982495257618
"ACPT",0.5141677084175,4.35733454629634,0.9795532927423,0.346596970301253,1,-4.59674436278075
"ACR",2.00546393735711,2.04112653181829,2.1199263384162,0.0554879949081088,1,-4.52909101280533
"ACRBP",0.610238924229956,2.30063745724693,0.929450259147428,0.370932156913671,1,-4.59907799896134
"ACRC",-1.49782203724708,2.13461405487322,-2.04563290013226,0.0633019301855231,1,-4.53385923925757
"ACRV1",-0.0494767737770495,2.81672200558964,-0.119861125339704,0.906571768409982,1,-4.62138910494531
"ACSBG1",0.231069517842301,6.75069170690686,0.300608784665223,0.768845003347153,1,-4.61926900495485
"ACSBG2",0.0652825858196536,1.53399289956018,0.0930602665477598,0.927387656033573,1,-4.62154934773387
"ACSF3",-0.142042868101322,2.80382096939494,-0.18682981298115,0.854908018387373,1,-4.62081358295861
"ACSL1",-1.82098314814301,4.45834149296616,-2.06772612523602,0.0608769964700744,1,-4.53244063562365
"ACSL3",-0.365021934104886,8.02679965516867,-1.21198875758705,0.248785555452832,1,-4.58486010929918
"ACSL4",-0.766299568657342,5.35967800099679,-1.90013007095249,0.0816464181256462,1,-4.54319465293156
