Gene_Symbol,GSM1289627,GSM1289628,GSM1289629,GSM1289630,GSM1289631,GSM1289632,GSM1289633,GSM1289634,GSM1289635,GSM1289636,GSM1289637,GSM1289638,GSM1289639,GSM1289640,GSM1289641
LOC728334,-5.724527,-3.903268,-5.356447,5.914314,35.30762,2.054769,1.333129,1.381716,2.688487,1.399054,3.739425,7.457798,2.224331,2.001557,6.339625
LOC728340,2.971924,-7.225564,-6.813513,-2.094147,2.959908,-1.756318,0.4562081,4.933521,5.666076,-3.588725,2.235911,1.782294,-3.423063,-1.236828,1.00387
LOC728343,9.050925249999999,-1.034237905,7.1442815,6.83175325,6.579245,-2.5611235,3.7430837500000003,12.198384749999999,19.607964499999998,12.4285985,4.196777,12.19243575,6.5392755000000005,7.76271075,6.5696025
LOC728351,17.65775,6.385001,11.76037,-5.409358,4.108563,12.99282,7.837945,14.65656,14.28334,24.13065,12.27231,10.4279,19.68514,18.5822,19.60354
LOC728352,12.54347,-5.082351,9.194764,16.50878,-6.205971,14.29471,-4.215039,-5.323467,3.535852,-1.657954,-7.111916,-5.13016,-4.028125,-4.582636,-3.558903
LOC728358,-0.9046613333333333,-0.0012154899999999487,0.24276166666666685,-1.7431593333333335,-2.0903406666666666,-2.8472523333333335,-1.2542451783333333,1.5858086666666669,-1.2359213999999998,-1.35104,0.22693966666666662,-3.189294866666667,-1.5626323333333332,-0.13859746666666664,-1.9144663333333334
LOC728369,4.0325025,-0.9210334999999998,2.68359571,1.0590885,0.2938955000000001,3.0436126,2.850691,4.62087026,3.933949,0.7275104999999997,6.1868775,-2.687679,4.0254845,9.929522,1.690054
LOC728395,1.981733,2.539273,-4.29996,2.7707,2.957617,5.839633,-2.226559,11.40543,6.372006,-0.9192253,4.682036,2.871552,3.519461,3.509474,2.689236
LOC728403,-1.19443,-6.278231,-4.632214,-0.6408491,2.95694,-10.94798,-1.227005,4.672221,1.478582,2.88327,-0.6426498,-5.638929,-0.02154896,0.1678691,3.001048
LOC728411,16.20129,21.73781,20.01174,-0.06635639,31.75205,17.75207,-0.007373034,6.349166,30.16548,1.383556,8.332404,7.482858,12.78767,2.989383,14.93087
LOC728417,13.10446,18.63286,17.85384,60.124480000000005,67.31841,20.409529,2.34621495,12.385805000000001,16.966765,19.022334999999998,14.216194999999999,7.321411,16.257175,10.992797,17.506871500000003
LOC728441,11.60045,3.256781,-1.854589,10.57453,2.957201,5.838268,2.044864,3.564575,12.18949,-3.669919,14.02797,0.4513125,1.396225,-1.920529,2.989383
LOC728452,5.838268,21.92418,23.92202,1.438797,22.31688,14.28841,0.4557325,3.168252,71.80003,9.534281,1.564433,5.307013,19.99789,-2.496375,21.3787
LOC728454,8.242692,5.921605,7.470355,39.66814,0.9153824,16.85668,264.7834,7.729053,5.520609,29.01897,13.51191,283.3086,17.34663,11.41347,236.0202
LOC728468,-2.107084,-2.511112,0.6061851,5.937826,1.780509,7.60394,10.05439,-0.6758662,-3.745903,0.6527504,-0.9366262,2.364647,-1.655719,5.933728,-2.863256
LOC728473,-4.252665,-3.53912,-8.006784,-5.410001,7.738331,5.841137,-2.226938,2.030717,3.450621,4.676633,-2.955251,4.84728,1.753799,4.658728,-2.823968
LOC728481,1394.76,1742.214,1064.309,610.4204,1208.334,1326.119,608.7369,3019.278,879.2915,970.2359,2863.079,1043.858,1638.585,2675.54,2552.2
LOC728492,722.5026,1012.127,677.6034,454.519,637.3726,988.8666,594.8617,1145.329,452.36,583.2825,1288.555,701.1342,710.7127,1353.428,1114.358
LOC728493,-3.825774,3.257015,-9.638281,-5.8407,7.746855,-7.716527,-2.421894,-10.63997,-5.614624,-3.821946,-2.865187,-3.859792,-1.877511,-9.23562,0.2241313
LOC728498,2.11057915,-0.21798950000000028,-0.37835028499999995,44.30285,20.232528,0.32304389999999994,-0.18984599999999996,9.8011745,9.8154125,9.4799155,4.9112065,0.2608735,8.2834615,5.624963,12.49762
LOC728499,68.52176,115.5733,105.3803,72.98359,53.1009,76.71718,11.10303,6.26581,133.5426,23.57943,20.82397,40.65452,104.4336,5.327075,10.00874
LOC728504,8.243455,-1.402642,-0.7436958,1.438011,11.4247,-1.685022,2.865463,-0.3411028,-4.105198,1.404283,2.782348,1.392077,-0.4682961,-3.931512,1.771151
LOC728505,14.93284,14.8439,3.738919,16.55549,58.59081,8.223993,5.189472,39.24371,4.932988,12.79958,18.77438,15.03734,9.275039,21.28892,10.81412
LOC728516,3.47476,-2.511288,3.542823,5.934804,-0.4744903,-1.683612,4.224884,-3.863656,-4.871647,7.292507,-9.878401,5.489292,-7.203619,6.229909,5.861109
LOC728518,20.00841,-0.03187662,13.40265,-2.088493,2.958511,8.233343,-2.421739,4.925025,6.232652,-4.634767,2.913956,2.151301,6.809998,-1.352515,-6.97097
LOC728519,4.22543,5.32402,1.99928,1.438329,16.95013,13.49227,5.923585,1.977883,9.351974,2.946439,1.246742,5.754702,2.719938,0.9206739,2.001213
